day_of_week,hour,interarrival_time,probability
Tuesday,23,11.20866467661692,0.746268656716418
Wednesday,0,10.396280923694777,0.7349397590361446
Wednesday,1,8.56191597938145,0.7525773195876289
Wednesday,2,6.527320933333333,0.8
Wednesday,3,5.5984050000000005,0.7615384615384615
Wednesday,4,5.338346396396397,0.6486486486486487
Wednesday,5,5.631563194444444,0.6944444444444444
Wednesday,6,5.559188676844785,0.7099236641221374
Wednesday,7,4.966904242424244,0.7636363636363637
Wednesday,8,4.144346944444447,0.7166666666666667
Wednesday,9,4.203352430555556,0.7291666666666666
Wednesday,10,4.434283235294116,0.7705882352941177
Wednesday,11,4.000499087893868,0.7014925373134329
Wednesday,12,3.642325799086758,0.8036529680365296
Wednesday,13,2.6968775533108893,0.7946127946127947
Wednesday,14,2.8173849823321557,0.8127208480565371
Wednesday,15,2.461534088457388,0.8284789644012945
Wednesday,16,3.4573603886397644,0.7982062780269058
Wednesday,17,3.67413595238095,0.7619047619047619
Wednesday,18,5.114738297872343,0.7375886524822695
Wednesday,19,6.416992894056847,0.6744186046511628
Wednesday,20,8.606865650406505,0.7804878048780488
Wednesday,21,10.711867187499998,0.640625
Wednesday,22,8.52196391941392,0.7692307692307693
Wednesday,23,13.935702459016397,0.7377049180327869
Thursday,0,8.708956535947708,0.7058823529411765
Thursday,1,7.179060620915031,0.7058823529411765
Thursday,2,5.832015357142854,0.7428571428571429
Thursday,3,5.718803703703707,0.7555555555555555
Thursday,4,5.948426822916665,0.796875
Thursday,5,7.0611033333333335,0.7363636363636363
Thursday,6,5.079518273092369,0.7409638554216867
Thursday,7,5.777519553805777,0.7322834645669292
Thursday,8,4.941144979919677,0.6807228915662651
Thursday,9,5.23563101851852,0.7777777777777778
Thursday,10,4.632890376984129,0.6845238095238095
Thursday,11,3.7241806239737296,0.7733990147783252
Thursday,12,3.272238242894055,0.7945736434108527
Thursday,13,2.8607178482587052,0.7574626865671642
Thursday,14,2.685738662131518,0.7755102040816326
Thursday,15,2.6466757785467148,0.7508650519031141
Thursday,16,3.3911735380116945,0.7456140350877193
Thursday,17,3.921474111675129,0.751269035532995
Thursday,18,6.68178613445378,0.7478991596638656
Thursday,19,6.41571089108911,0.7821782178217822
Thursday,20,14.903394565217393,0.7391304347826086
Thursday,21,15.67487212643678,0.6896551724137931
Thursday,22,12.225262365591396,0.7903225806451613
Thursday,23,10.888970987654323,0.7283950617283951
Friday,0,8.198564285714282,0.8791208791208791
Friday,1,7.971427287581697,0.696078431372549
Friday,2,5.984535826771652,0.7086614173228346
Friday,3,5.174888300220749,0.7417218543046358
Friday,4,5.621005808080809,0.7045454545454546
Friday,5,5.69862472035794,0.6912751677852349
Friday,6,4.138167383512544,0.7096774193548387
Friday,7,4.788359381237527,0.7664670658682635
Friday,8,4.4699140039447744,0.7396449704142012
Friday,9,4.738062449799198,0.7048192771084337
Friday,10,5.444410638297873,0.7446808510638298
Friday,11,4.350144623655913,0.7526881720430108
Friday,12,3.2297349726775946,0.7336065573770492
Friday,13,3.200561388888888,0.775
Friday,14,2.7933006872852277,0.7594501718213058
Friday,15,2.4473305000000005,0.7666666666666667
Friday,16,3.7954424836601306,0.7745098039215687
Friday,17,3.9362223905723916,0.7727272727272727
Friday,18,5.068308444444445,0.74
Friday,19,7.327041981132075,0.7830188679245284
Friday,20,13.974432222222223,0.7333333333333333
Friday,21,13.67575978835979,0.6825396825396826
Friday,22,15.662125961538466,0.6730769230769231
Friday,23,8.17383384879725,0.845360824742268
Saturday,0,9.16308731060606,0.8068181818181818
Saturday,1,10.189235111111115,0.7866666666666666
Saturday,2,8.365064157706092,0.7634408602150538
Saturday,3,5.199355043859647,0.6907894736842105
Saturday,4,5.5153102112676065,0.704225352112676
Saturday,5,6.6011572829131655,0.7058823529411765
Saturday,6,5.1014690322580645,0.7612903225806451
Saturday,7,5.312353579418348,0.6711409395973155
Saturday,8,5.664644230769232,0.7307692307692307
Saturday,9,4.498626907630522,0.7771084337349398
Saturday,10,5.043243195266272,0.7455621301775148
Saturday,11,4.117465893470792,0.7680412371134021
Saturday,12,3.4472854719764006,0.7699115044247787
Saturday,13,3.2940210638297875,0.7617021276595745
Saturday,14,2.3649862774451087,0.7485029940119761
Saturday,15,2.4490139498432604,0.7648902821316614
Saturday,16,3.3479390804597697,0.7758620689655172
Saturday,17,3.418970758928572,0.7589285714285714
Saturday,18,4.551489559386972,0.7471264367816092
Saturday,19,5.540379876543212,0.6666666666666666
Saturday,20,7.896636200716849,0.7096774193548387
Saturday,21,12.398960382513664,0.6885245901639344
Saturday,22,13.309151960784314,0.803921568627451
Saturday,23,11.042437195121947,0.8292682926829268
